0 0
0.0536231 0.0445051
0.107246 0.0880302
0.160869 0.130575
0.214493 0.17214
0.268116 0.212725
0.321739 0.252331
0.375362 0.290956
0.428985 0.328601
0.482608 0.365266
0.536231 0.400951
0.589854 0.435656
0.643478 0.469381
0.697101 0.502126
0.750724 0.533891
0.804347 0.564677
0.85797 0.594482
0.911593 0.623307
0.965217 0.651152
1.01884 0.678017
1.07246 0.703902
1.12609 0.728807
1.17971 0.752732
1.23333 0.775677
1.28696 0.797643
1.34058 0.818628
1.3942 0.838633
1.44782 0.857658
1.50145 0.875703
1.55507 0.892768
1.60869 0.908853
1.66232 0.923958
1.71594 0.938083
1.76956 0.951228
1.82319 0.963393
1.87681 0.974578
1.93043 0.984784
1.98406 0.994009
2.03768 1.00225
2.0913 1.00952
2.14492 1.0158
2.19855 1.02111
2.25217 1.02543
2.30579 1.02878
2.35942 1.03114
2.41304 1.03253
2.46666 1.03293
2.52029 1.03236
2.57391 1.0308
2.62753 1.02827
2.68116 1.02476
2.73478 1.02026
2.7884 1.01479
2.84203 1.00833
2.89565 1.0009
2.94927 0.992481
3.00289 0.983086
3.05652 0.972711
3.11014 0.961356
3.16376 0.949021
3.21739 0.935706
3.27101 0.921412
3.32463 0.906137
3.37826 0.889882
3.43188 0.872647
3.4855 0.854432
3.53913 0.835237
3.59275 0.815063
3.64637 0.793908
3.69999 0.771773
3.75362 0.748658
3.80724 0.724563
3.86086 0.699488
3.91449 0.673434
3.96811 0.646399
4.02173 0.618384
4.07536 0.589389
4.12898 0.559414
4.1826 0.528459
4.23623 0.496524
4.28985 0.46361
4.34347 0.429715
4.39709 0.39484
4.45072 0.358985
4.50434 0.32215
4.55796 0.284336
4.61159 0.245541
4.66521 0.205766
4.71883 0.165011
4.77246 0.123277
4.82608 0.0805616
4.8797 0.0368666
